COUNTY,2018,pct_change_2018_2010,2010,pct_change_2010_2002,2002,2018_num,2018_rate_x_pop,2018_wt_value_rate,2018_pct_change_x_pop,2018_wt_value_pct_change,2010_num,2002_num
Barbour,44.8,-3.6,48.4,-3.8,52.17,56,"2,508.80",2.51,-201.6,-0.020,75,84
Clay,41.4,-2.6,44,-2,45.97,53,"2,194.20",0.22,-137.8,-0.014,62,57
Pendleton,58.9,-3.5,62.4,6.1,56.32,33,"1,943.70",2.88,-115.5,-0.012,53,49
Lincoln,39.9,0.4,39.5,2.3,37.23,83,"3,311.70",0.33,33.2,0.003,75,86
Mingo,54.6,0.5,54.1,6.7,47.42,142,"7,753.20",0.78,71,0.007,131,156
Tucker,50,4.6,45.4,-2.2,47.57,41,"2,050.00",#REF!,188.6,0.019,49,49
Webster,47,5.6,41.4,0.5,40.87,47,"2,209.00",#REF!,263.2,0.027,48,47
Ohio,72.7,0.9,71.8,-9.8,81.56,355,"25,808.50",38.29,319.5,0.032,364,407
Fayette,45.9,2,43.9,-7.8,51.65,191,"8,766.90",13.01,382,0.039,185,235
Gilmer,62.9,11.2,51.7,-1.8,53.52,39,"2,453.10",#REF!,436.8,0.044,30,38
Braxton,46.7,8.2,38.5,-5.4,43.92,63,"2,942.10",0.3,516.6,0.052,55,65
Logan,53.6,2.3,51.3,2.3,49.03,231,"12,381.60",25.32,531.3,0.054,212,202
Summers,55.9,13.6,42.3,4.4,37.86,62,"3,465.80",#REF!,843.2,0.085,44,39
McDowell,34.7,12.7,22,-14,35.95,68,"2,359.60",0.24,863.6,0.087,51,87
Raleigh,50.7,8.9,41.8,-8,49.8,395,"20,026.50",40.54,"3,515.50",0.354,354,377
